@relation KC1-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R4

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0,3,0,2,6,5.07,8.75,388.32,0.01,14,0.11,44.38,9,2,8,N
0,1,0,1,6,16.32,4.67,355.35,0.03,20,0.21,76.15,13,6,8,Y
2,5,0,2,9,18.49,9.55,1684.45,0.06,38,0.1,176.47,23,11,13,N
5,27,0,14,69,57.94,18.07,18928.42,0.35,193,0.06,1047.27,132,27,76,N
2,35,0,18,49,58.14,13.44,10502.26,0.26,150,0.07,781.42,94,25,54,N
0,1,0,1,0,0,0,0,0,0,0,0,0,0,38,N
1,3,0,2,19,46.64,6.9,2223.49,0.11,65,0.14,322.02,36,21,24,N
4,9,0,5,26,28.45,12.54,4470.44,0.12,75,0.08,356.62,48,14,36,N
0,1,0,1,0,7.86,2.5,49.13,0.01,7,0.4,19.65,5,2,5,N
0,1,0,1,28,2.77,39,4212,0.04,54,0.03,108,28,1,30,Y
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,N
0,3,0,1,0,9.6,2.5,60,0.01,8,0.4,24,5,3,2,N
3,3,0,2,18,32.64,5.19,879.88,0.06,38,0.19,169.46,23,13,25,Y
2,1,0,1,5,13.29,3.75,186.86,0.02,15,0.27,49.83,10,4,11,N
4,11,0,5,50,49.98,16.37,13409.92,0.27,156,0.06,818.68,93,25,60,N
1,3,0,2,10,16.21,11,1962.54,0.06,42,0.09,178.41,26,8,14,N
0,1,0,1,4,9.51,3,85.59,0.01,9,0.33,28.53,6,3,6,N
5,7,5,4,23,35.28,9.92,3472.37,0.12,70,0.1,350,41,19,39,N
2,5,0,3,18,28.75,9.69,2700.58,0.09,60,0.1,278.63,39,13,23,N
1,1,0,1,6,19.16,6.19,733.44,0.04,29,0.16,118.54,18,8,9,N
6,13,0,6,60,39.51,24,22758.88,0.32,177,0.04,948.29,102,25,74,N
3,3,0,2,11,20.75,7.78,1255.5,0.05,38,0.13,161.42,24,9,17,N
6,13,0,6,66,67.19,17.71,21062.86,0.4,213,0.06,1189.6,127,34,78,Y
0,3,0,2,7,21.02,6.22,813.86,0.04,32,0.16,130.8,18,9,12,N
0,1,0,1,12,52.46,5.56,1619.04,0.1,62,0.18,291.43,37,18,20,N
0,1,0,1,4,11.2,3,100.81,0.01,13,0.33,33.6,10,2,6,Y
2,3,0,2,10,16.52,6.86,776.91,0.04,29,0.15,113.3,17,7,16,Y
0,5,0,2,17,16.67,9.75,1584.53,0.05,37,0.1,162.52,25,8,19,Y
2,1,0,1,4,18.08,4,289.36,0.02,19,0.25,72.34,11,7,9,N
0,1,0,1,2,9.83,2,39.3,0.01,7,0.5,19.65,4,3,4,N
6,6,0,4,28,28.43,12.13,4184.99,0.11,71,0.08,344.92,45,15,37,N
2,9,4,4,36,36.96,18,11974.34,0.22,125,0.06,665.24,81,22,48,N
0,1,0,1,6,15.22,3.75,213.97,0.02,18,0.27,57.06,12,4,14,N
5,5,0,3,26,25.41,13.43,4585.09,0.11,71,0.07,341.32,40,15,39,N
1,7,0,3,16,11.7,13.33,2080,0.05,39,0.08,156,23,6,19,N
4,5,0,3,43,54.62,14.09,10838.4,0.26,150,0.07,769.39,96,23,56,Y
4,3,0,2,8,11.35,6,408.69,0.02,19,0.17,68.11,13,4,14,N
6,9,0,4,31,48.51,10.05,4894.97,0.16,95,0.1,487.28,61,22,44,N
0,1,0,1,3,16.84,1.5,37.9,0.01,9,0.67,25.27,5,4,5,N
5,3,0,2,31,70.66,11.6,9507.73,0.27,152,0.09,819.63,94,30,39,N
17,49,0,25,179,115.99,32.93,125808.33,1.27,606,0.03,3820.09,398,60,210,N
1,1,0,1,2,7.75,2,31.02,0.01,6,0.5,15.51,4,2,5,N
1,1,0,1,4,9.6,2.5,60,0.01,8,0.4,24,5,3,10,N
3,5,0,3,22,55.59,7.1,2805.82,0.13,77,0.14,394.95,46,24,27,Y
2,5,0,3,25,39.13,9.71,3686.11,0.13,79,0.1,379.78,49,17,31,N
16,49,8,25,114,80.13,30.36,73847.58,0.81,401,0.03,2432.5,268,46,149,N
2,11,0,6,35,31,18.45,10553.84,0.19,109,0.05,572.02,68,20,41,Y
2,11,0,6,38,39.12,12.89,6504.61,0.17,100,0.08,504.44,65,19,45,N
0,1,0,1,6,17.92,4,286.8,0.02,20,0.25,71.7,12,6,8,N
1,7,0,3,14,17.63,7.71,1049.14,0.05,34,0.13,136,22,7,17,Y
11,13,3,4,61,79.11,16.07,20425.58,0.42,217,0.06,1271.18,116,44,79,N
1,3,2,2,11,9.94,13.75,1880.19,0.05,35,0.07,136.74,25,4,16,Y
2,1,0,1,14,19.44,10.29,2057.13,0.07,50,0.1,200,34,7,18,N
2,3,0,2,16,33.67,6,1212.28,0.07,46,0.17,202.05,30,12,23,N
4,17,0,6,50,40.61,14.76,8849.14,0.2,121,0.07,599.46,59,21,57,N
1,7,0,1,22,22.36,12.46,3472.18,0.09,60,0.08,278.63,33,13,28,N
0,1,0,1,0,22.33,3.5,273.48,0.03,20,0.29,78.14,12,8,2,N
13,21,0,11,65,51.83,28.95,43431.19,0.5,254,0.03,1500.35,154,38,84,Y
3,3,0,2,6,11.86,4.38,227.03,0.02,15,0.23,51.89,10,4,12,N
2,5,0,3,11,22.94,7.78,1387.66,0.06,42,0.13,178.41,28,9,15,N
3,5,1,3,18,24.99,7.65,1462.35,0.06,45,0.13,191.16,28,10,25,Y
1,3,0,2,11,21.27,5.14,562.59,0.04,28,0.19,109.39,19,7,14,N
0,1,0,1,6,16.32,4.67,355.35,0.03,20,0.21,76.15,13,6,10,N
10,17,0,9,53,37.59,19.71,14609.41,0.25,130,0.05,741.06,84,28,73,N
4,1,0,1,9,30.84,5.41,902.22,0.06,40,0.18,166.8,23,11,18,N
3,3,0,2,16,38.54,6.9,1834.9,0.09,58,0.14,265.93,35,15,23,N
4,7,0,4,13,34.7,12.28,5231.08,0.14,86,0.08,426.06,52,18,19,Y
1,5,0,3,25,32.82,9.17,2757.59,0.1,64,0.11,300.83,39,15,29,Y
0,1,0,1,8,27.26,5.2,737.24,0.05,34,0.19,141.78,21,10,14,N
4,1,0,1,15,20.22,10.29,2139.43,0.07,52,0.1,208,36,7,21,N
3,3,0,2,11,25.62,6.22,991.89,0.05,39,0.16,159.41,25,9,19,N
2,15,0,8,43,42.12,13.65,7847.16,0.19,113,0.07,574.88,74,20,48,N
1,1,0,1,4,36.14,3,325.25,0.04,26,0.33,108.42,14,12,14,Y
2,5,0,3,12,39.4,7,1930.48,0.09,58,0.14,275.78,30,18,16,Y
12,13,0,6,59,63.37,14.03,12478.8,0.3,161,0.07,889.29,103,31,79,Y
0,1,0,1,3,8,3,72,0.01,8,0.33,24,6,2,5,Y
0,1,0,1,7,37,2.5,231.28,0.03,25,0.4,92.51,17,8,9,Y
2,9,0,5,27,26.16,18.75,9196.23,0.16,99,0.05,490.47,59,16,34,Y
5,13,1,7,52,42.58,18,13794.44,0.26,144,0.06,766.36,100,22,63,N
13,7,0,4,19,18.77,15.89,4738.27,0.1,69,0.06,298.21,43,9,34,Y
3,17,0,9,42,35.23,18.28,11773.96,0.21,130,0.05,644.05,91,16,49,N
6,15,0,8,48,40.5,18.78,14289.29,0.25,142,0.05,760.77,94,23,61,N
1,3,1,1,5,14.38,4.5,291.26,0.02,17,0.22,64.73,12,5,10,N
4,3,0,2,14,22.64,13,3826.19,0.1,66,0.08,294.32,40,11,23,N
1,1,0,1,3,9.6,2.5,60,0.01,8,0.4,24,5,3,9,N
6,7,0,4,29,26.52,14.5,5576.53,0.13,80,0.07,384.59,51,14,38,N
1,3,0,2,11,23.83,5.6,747.25,0.04,32,0.18,133.44,18,10,16,N
4,1,0,1,18,27.14,10.8,3165.56,0.1,69,0.09,293.11,45,10,36,Y
9,11,0,5,29,26.93,18.9,9619.48,0.17,95,0.05,508.97,59,20,41,Y
4,7,0,4,23,34.05,8.21,2297.39,0.09,61,0.12,279.68,38,14,40,N
0,3,0,1,4,11.95,4.2,210.8,0.02,14,0.24,50.19,8,5,6,N
2,5,0,2,10,19.91,9.92,1957.73,0.07,42,0.1,197.42,25,12,14,N
6,21,0,11,53,42.96,21.8,20423.25,0.31,176,0.05,936.66,117,23,62,N
1,1,0,1,11,29.33,3,264,0.03,22,0.33,88,12,10,17,N
2,1,0,1,6,19.93,2.67,141.74,0.02,16,0.38,53.15,8,6,10,N
0,1,0,1,3,11.63,2,46.53,0.01,9,0.5,23.26,5,3,5,N
23,54,0,27,173,143.73,23.29,77990.66,1.12,521,0.04,3348.08,345,68,217,Y
1,5,0,2,18,26.83,13.85,5143.96,0.12,80,0.07,371.51,50,13,24,Y
0,3,0,2,14,26.65,6,959.47,0.05,37,0.17,159.91,25,10,17,N
3,7,0,4,35,48.52,13,8199.5,0.21,122,0.08,630.73,76,23,40,N
1,11,0,4,21,23.57,10.64,2666.24,0.08,58,0.09,250.67,32,11,32,N
0,1,0,1,0,0,0,0,0,0,0,0,0,0,45,Y
1,7,0,4,12,13.14,16.63,3632.76,0.07,49,0.06,218.51,30,8,15,N
2,13,0,6,43,43.58,12.05,6323.86,0.18,105,0.08,525,52,22,47,Y
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,N
8,21,0,9,43,48.29,44.31,94805.86,0.71,354,0.02,2139.72,226,39,53,Y
3,9,0,4,35,34.3,13.72,6458.35,0.16,95,0.07,470.65,57,18,40,Y
0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,N
0,1,0,1,3,8,4.5,162,0.01,12,0.22,36,9,2,5,N
0,1,0,1,12,48.95,5.88,1693.64,0.1,62,0.17,287.92,37,17,16,N
2,7,0,4,28,44.35,9.92,4365.26,0.15,88,0.1,440,59,19,32,N
12,19,0,10,76,100.98,14.77,22027.25,0.5,245,0.07,1491.43,149,52,93,N
0,1,0,1,10,39.43,5.43,1162,0.07,48,0.18,214.05,29,14,15,N
7,27,0,9,74,36.77,34.83,44593.23,0.43,239,0.03,1280.45,150,23,88,N
0,1,0,1,13,54.15,5.56,1671.27,0.1,64,0.18,300.83,39,18,18,N
0,1,0,1,8,22.21,6,799.54,0.04,35,0.17,133.26,23,7,10,N
1,1,0,1,4,11.86,4.38,227.03,0.02,15,0.23,51.89,10,4,7,N
0,1,0,1,14,62.53,5.9,2180.08,0.12,76,0.17,369.21,45,21,20,N
0,1,0,1,2,7.74,1.5,17.41,0,5,0.67,11.61,3,2,6,N
0,1,0,1,3,9.51,0.5,2.38,0,3,2,4.75,1,2,6,N
22,25,0,12,131,98.25,22.82,51144.16,0.75,361,0.04,2241.61,208,57,179,Y
0,3,0,1,0,8.72,4,139.48,0.01,11,0.25,34.87,7,3,2,N
5,7,0,4,26,49.72,11.02,6040.05,0.18,106,0.09,548.01,67,23,33,N
0,1,0,1,1,18.09,1,18.09,0.01,7,1,18.09,3,4,2,N
22,31,0,13,101,69.24,29.65,60862.61,0.68,322,0.03,2052.76,192,57,132,Y
3,5,0,3,23,32.22,9.34,2814.29,0.1,62,0.11,301.19,39,16,32,N
1,3,0,2,12,19.71,5.5,596.3,0.04,26,0.18,108.42,15,9,15,N
0,5,0,3,15,20.17,8.86,1584.94,0.06,39,0.11,178.81,24,11,18,N
2,7,0,2,18,23.97,8,1534.04,0.06,43,0.13,191.76,27,11,24,N
1,3,0,2,11,16.14,7.5,908.35,0.04,31,0.13,121.11,21,6,14,N
0,5,0,3,10,13.3,6.4,544.7,0.03,23,0.16,85.11,15,5,13,N
7,7,0,3,37,55.37,16.14,14440.71,0.3,152,0.06,894.16,84,40,55,Y
9,33,5,15,111,74.25,33.78,84710.46,0.84,399,0.03,2507.88,247,54,131,N
0,1,0,1,3,14.99,3,134.92,0.01,13,0.33,44.97,8,5,5,N
0,1,0,1,8,27.26,5.2,737.24,0.05,34,0.19,141.78,21,10,15,N
1,1,0,1,30,107.09,4.34,2021.62,0.16,90,0.23,465.29,54,29,34,N
2,11,0,5,43,41.29,16.25,10902.2,0.22,133,0.06,670.9,83,20,52,Y
0,5,0,2,1,11.85,4.5,239.86,0.02,14,0.22,53.3,9,5,3,N
0,1,0,1,0,0,0,0,0,1,0,0,1,0,4,N
4,15,0,8,75,73.03,15.35,17214.99,0.37,203,0.07,1121.28,116,34,92,Y
0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,N
1,1,0,1,18,64.87,4.74,1454.65,0.1,67,0.21,307.19,44,17,23,Y
7,18,0,10,61,54.12,16.42,14596.21,0.3,167,0.06,888.76,106,26,70,N
2,3,0,2,9,10.75,7,526.99,0.03,21,0.14,75.28,14,4,13,N
2,7,0,3,22,30.09,8.64,2247.63,0.09,56,0.12,260.06,34,14,29,N
1,5,0,3,5,7.3,5,182.48,0.01,13,0.2,36.5,9,2,8,Y
7,11,3,6,56,61.88,17.14,18184.17,0.35,187,0.06,1060.74,112,35,85,N
2,3,0,2,10,17.4,6.29,687.61,0.04,28,0.16,109.39,17,7,15,N
0,1,0,1,2,7.74,1.5,17.41,0,5,0.67,11.61,3,2,6,N
9,9,0,5,58,60.41,14,11840.44,0.28,154,0.07,845.75,98,30,75,N
6,19,0,10,57,49.46,16.5,13466.32,0.27,168,0.06,816.14,114,18,78,N
0,1,0,1,2,6.86,3.5,84,0.01,8,0.29,24,7,1,4,N
0,1,0,1,9,26.79,5.25,738.4,0.05,36,0.19,140.65,24,8,12,Y
7,33,1,17,79,56.75,19.38,21323.71,0.37,204,0.05,1100.03,141,26,91,N
4,3,0,2,15,45.4,7.75,2726.93,0.12,74,0.13,351.86,43,18,26,N
0,3,0,2,7,12.33,4.8,284.19,0.02,16,0.21,59.21,10,5,9,N
1,1,0,1,7,24.74,3,222.69,0.02,19,0.33,74.23,10,9,13,N
1,3,0,2,8,9.87,7.88,611.96,0.03,21,0.13,77.71,14,4,11,N
12,17,0,9,48,54.44,17.5,16670.93,0.32,179,0.06,952.63,114,26,66,N
2,1,0,1,5,7.75,2,31.02,0.01,6,0.5,15.51,4,2,9,Y
5,21,0,7,54,54.6,21.71,25742.43,0.4,206,0.05,1185.51,126,35,69,N
2,7,0,4,33,46.32,13.62,8591.51,0.21,124,0.07,630.85,80,21,38,N
0,1,0,1,4,6.67,4.5,135,0.01,10,0.22,30,7,2,8,N
4,5,0,3,33,40.66,11.76,5624.8,0.16,94,0.09,478.22,56,21,47,N
8,13,0,6,62,60.25,21.63,28182.18,0.43,218,0.05,1303.05,125,43,82,N
1,3,0,1,6,16.61,2.92,141.26,0.02,14,0.34,48.43,7,6,9,N
0,1,0,1,3,14.4,2.5,90,0.01,12,0.4,36,7,4,6,N
11,9,3,4,46,50.35,14.45,10515.73,0.24,131,0.07,727.65,75,31,74,Y
0,3,0,2,8,14.28,6.67,634.56,0.03,25,0.15,95.18,15,6,12,N
1,1,0,1,2,7.75,2,31.02,0.01,6,0.5,15.51,4,2,22,N
0,1,0,1,2,7.75,2,31.02,0.01,6,0.5,15.51,4,2,4,N
1,3,0,2,6,11.86,4.38,227.03,0.02,15,0.23,51.89,10,4,10,N
1,3,0,2,8,16.89,4.5,342,0.03,19,0.22,76,12,7,11,N
2,3,0,2,14,19.94,6.86,937.65,0.05,35,0.15,136.74,23,7,18,N
0,1,0,1,2,8,1,8,0,4,1,8,2,2,5,N
2,1,0,1,9,29.44,3.75,414.05,0.04,29,0.27,110.41,19,8,13,N
6,25,5,11,85,65.81,28.86,54815.82,0.63,304,0.03,1899.37,193,50,102,N
0,1,0,1,2,9.51,3,85.59,0.01,9,0.33,28.53,6,3,5,N
5,9,0,3,16,27.78,22.8,14439.1,0.21,116,0.04,633.29,78,20,23,Y
0,3,0,1,8,35.66,7.2,1848.66,0.09,56,0.14,256.76,32,15,10,N
34,33,9,15,92,54.02,35.08,66460.03,0.63,317,0.03,1894.8,195,40,150,N
3,3,0,2,16,32.63,8.07,2123.35,0.09,56,0.12,263.22,34,15,24,N
0,1,0,1,8,21.74,4.89,519.55,0.04,26,0.2,106.27,15,9,14,N
1,7,0,4,30,23.08,14.5,4853.18,0.11,73,0.07,334.7,44,12,33,Y
1,3,0,2,10,14.28,6.67,634.56,0.03,25,0.15,95.18,15,6,15,N
7,11,0,6,45,46.32,15.83,11604.88,0.24,132,0.06,733.21,81,29,54,N
0,3,0,2,16,22.94,7.22,1196.5,0.06,39,0.14,165.67,26,9,18,N
1,5,0,3,23,30.96,11.67,4214.16,0.12,81,0.09,361.21,53,12,30,N
0,1,0,1,1,12.68,2.5,79.25,0.01,10,0.4,31.7,6,4,6,N
0,1,0,1,4,10.8,2.5,67.5,0.01,9,0.4,27,6,3,7,N
0,11,0,2,19,13.43,22.4,6738.55,0.1,64,0.04,300.83,36,10,27,N
0,7,0,4,24,35.53,11.79,4935.43,0.14,81,0.08,418.76,48,21,26,Y
2,3,0,2,24,29.77,11.7,4075.46,0.12,82,0.09,348.33,56,10,30,N
5,25,0,10,40,35.3,36.93,48144.92,0.43,231,0.03,1303.73,137,28,47,Y
1,3,0,2,8,13.26,6.42,546.12,0.03,23,0.16,85.11,12,6,11,N
10,11,0,5,30,26.93,18.9,9619.48,0.17,95,0.05,508.97,59,20,43,Y
1,1,0,1,5,12.65,4.38,242.16,0.02,16,0.23,55.35,11,4,8,N
4,11,0,6,48,39.07,21.88,18709.51,0.29,176,0.05,855,114,17,59,N
5,9,0,4,20,19.15,21.33,8714.36,0.14,93,0.05,408.49,61,9,27,Y
3,5,0,3,46,48.4,21,21346.25,0.34,191,0.05,1016.49,121,25,58,Y
1,5,2,3,16,23.17,9.33,2018.06,0.07,46,0.11,216.22,30,12,27,N
1,3,0,2,11,8.95,14.3,1830.4,0.04,32,0.07,128,19,5,14,N
0,1,0,1,4,16.73,3,150.57,0.02,14,0.33,50.19,8,6,7,Y
0,1,0,1,3,14.99,3,134.92,0.01,13,0.33,44.97,8,5,7,N
12,19,0,9,59,35.46,40.09,56980.83,0.47,247,0.02,1421.46,154,29,73,Y
2,1,0,1,4,27.6,3.85,409.16,0.04,26,0.26,106.27,15,10,8,Y
6,9,0,5,51,70.96,13,11991.65,0.31,167,0.08,922.43,101,33,61,N
3,1,0,1,5,24.31,4.28,444.89,0.03,26,0.23,104,15,9,10,Y
3,7,0,4,35,40.21,10.47,4409.92,0.14,85,0.1,421.11,56,18,41,Y
0,3,0,2,0,3.86,7,189,0.01,9,0.14,27,7,1,2,N
1,17,0,9,32,28.74,16.88,8184.35,0.16,102,0.06,485,75,12,36,N
6,7,0,3,36,57.62,13.78,10946.73,0.26,138,0.07,794.17,78,37,50,N
2,3,0,2,10,15.99,6.67,710.71,0.04,28,0.15,106.61,18,6,15,N
0,3,0,2,3,6,4.5,121.5,0.01,9,0.22,27,6,2,5,N
0,3,0,2,12,24.31,8,1555.89,0.06,45,0.13,194.49,29,10,15,N
0,1,0,1,0,0,0,0,0,2,0,2,2,0,4,N
0,1,0,1,1,5.33,1.5,12,0,4,0.67,8,3,1,2,N
12,35,0,15,93,60.37,42.25,107760.09,0.85,399,0.02,2550.53,230,56,109,Y
0,5,0,1,18,19.5,8.13,1287.46,0.05,38,0.12,158.46,25,8,20,N
0,1,0,1,4,8.72,4,139.48,0.01,11,0.25,34.87,7,3,6,N
7,9,0,4,26,30.09,14.58,6400.08,0.15,87,0.07,438.86,52,18,42,N
9,13,0,6,48,44.1,19.44,16666.88,0.29,158,0.05,857.35,104,25,62,N
7,37,0,19,61,42.59,29.25,36434.54,0.42,231,0.03,1245.63,153,24,77,Y
1,1,0,1,12,24.67,8.25,1679.37,0.07,45,0.12,203.56,27,12,18,N
0,3,0,2,19,30.44,6.54,1301.39,0.07,44,0.15,199.04,27,13,23,N
1,5,0,3,17,33.33,9.17,2800.68,0.1,65,0.11,305.53,40,15,25,N
32,23,0,12,142,140.96,21.49,65087.11,1.01,453,0.05,3028.98,263,84,220,Y
2,3,0,1,31,74.84,9.81,7209.3,0.24,141,0.1,734.53,88,27,35,N
0,1,0,1,4,14.99,3,134.92,0.01,13,0.33,44.97,8,5,6,N
0,1,0,1,2,15.36,3.5,188.21,0.02,15,0.29,53.77,10,5,6,N
7,3,0,2,10,20.61,6.5,870.87,0.04,31,0.15,133.98,18,10,20,Y
3,7,0,2,25,61.35,9.63,5688.55,0.2,111,0.1,590.73,71,27,43,N
4,5,0,3,12,20.92,11.55,2790.22,0.08,55,0.09,241.58,34,10,21,N
5,11,0,5,54,40.62,19.73,15808.22,0.27,155,0.05,801.34,93,22,65,Y
4,16,0,9,73,52.56,22.65,26954.95,0.4,212,0.04,1190.32,134,31,87,N
6,9,0,5,51,50.46,15.29,11794.86,0.26,144,0.07,771.49,91,26,68,N
2,7,0,4,15,13.45,16.71,3756.37,0.07,52,0.06,224.74,34,7,19,N
0,1,0,1,9,28.62,7.46,1594.5,0.07,46,0.13,213.62,27,14,13,Y
5,13,0,5,56,37.85,22.5,19161.04,0.28,146,0.04,851.6,96,30,79,N
1,5,2,3,16,23.17,9.33,2018.06,0.07,46,0.11,216.22,30,12,29,N
0,1,0,1,10,32.11,4.2,566.52,0.04,33,0.24,134.89,21,10,14,Y
0,1,1,1,6,15.38,3.6,199.26,0.02,16,0.28,55.35,10,5,10,N
1,3,0,1,12,13.87,7.5,780,0.03,26,0.13,104,17,6,15,N
0,1,0,1,2,0,0,0,0,5,0,11.61,5,0,4,N
1,11,0,5,18,15.35,15.83,3847.55,0.08,53,0.06,243,34,9,23,N
0,5,0,3,18,29.61,8.53,2155.12,0.08,52,0.12,252.62,31,16,23,N
0,1,0,1,0,5.8,2,23.22,0,5,0.5,11.61,4,1,1,N
3,8,0,5,34,53.98,10,5397.5,0.18,107,0.1,539.75,72,21,42,N
0,1,0,1,0,9.6,2.5,60,0.01,8,0.4,24,5,3,2,N
1,1,0,1,5,14.4,2.5,90,0.01,12,0.4,36,7,4,7,N
13,21,2,8,70,41.39,30.44,38352.97,0.42,216,0.03,1259.9,126,34,97,Y
3,35,0,18,53,68.88,15.48,16513.25,0.36,192,0.06,1066.48,132,31,68,Y
1,21,0,10,25,45.45,13.43,8196.42,0.2,121,0.07,610.37,74,21,28,N
1,12,0,7,78,154.03,12.29,23269.16,0.63,311,0.08,1893.2,207,55,84,Y
3,7,0,3,19,14.98,17.45,4564.69,0.09,55,0.06,261.51,31,11,24,Y
0,1,0,1,5,13.32,3.5,163.12,0.02,13,0.29,46.6,8,5,9,Y
0,3,0,2,11,17.59,6.87,831.38,0.04,29,0.15,120.93,18,8,14,Y
0,1,0,1,0,7.74,1.5,17.41,0,5,0.67,11.61,3,2,3,N
0,1,0,1,11,41.07,5.43,1210.42,0.07,50,0.18,222.97,31,14,15,N
0,3,0,2,8,10.42,6.75,474.58,0.02,19,0.15,70.31,13,4,10,N
5,9,0,4,25,39.13,10.61,4401.18,0.14,83,0.09,415,52,19,35,Y
9,49,0,22,108,60.45,38.21,88254.54,0.77,396,0.03,2309.82,265,36,127,N
0,7,0,4,21,42.94,8.68,3238.55,0.12,76,0.12,372.92,46,19,25,Y
20,17,2,7,70,53.5,19.65,20664.58,0.35,178,0.05,1051.43,105,39,107,Y
1,11,0,5,32,29.51,21.37,13473.84,0.21,125,0.05,630.55,67,19,35,N
0,1,0,1,5,21.25,2.4,122.4,0.02,17,0.42,51,9,5,7,N
19,33,0,7,38,48.61,38.92,73638.77,0.63,319,0.03,1891.91,181,39,60,N
2,1,0,1,9,17.98,5.79,601.71,0.03,26,0.17,104,17,7,14,N
