@relation JM1-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R6

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute label {Y,N}

@data
5,40,0,5,39,1,63.25,23.83,0.5,215,0.04,1995.76,1507.41,86,129,46,97,N
0,13,0,0,9,1,24.66,57.14,0.47,277,0.02,4473.74,1409.23,80,197,20,41,N
2,11,0,0,6,6,15.61,22.55,0.12,74,0.04,440.72,351.86,31,43,16,36,Y
1,9,0,0,5,4,17.84,6.67,0.04,28,0.15,44.05,118.94,12,16,10,12,Y
3,1,0,0,1,1,21.81,6.5,0.05,34,0.15,51.2,141.78,13,21,9,12,N
4,3,0,0,2,1,37.07,7.2,0.09,59,0.14,106.76,266.89,27,32,8,22,N
5,3,0,3,2,1,39.23,4.27,0.06,37,0.23,39.67,167.37,16,21,8,24,N
5,7,0,0,4,1,56.19,15.97,0.3,159,0.06,796.15,897.37,62,97,17,50,N
10,57,5,0,29,21,76.79,39.29,1.01,467,0.03,6583.75,3016.55,198,269,25,123,Y
2,18,0,0,12,3,22.15,21.25,0.16,95,0.05,555.63,470.65,35,60,17,56,N
9,1,0,0,1,1,19.86,12.14,0.08,59,0.08,162.69,241.16,17,42,10,20,N
16,43,5,29,22,11,62.99,32.18,0.68,333,0.03,3624.25,2027.13,118,215,24,142,Y
5,5,0,3,3,3,35.73,17.22,0.21,128,0.06,588.75,615.34,62,66,10,25,N
4,9,0,0,5,1,30.28,15.58,0.16,92,0.06,408.54,471.89,33,59,17,32,N
7,83,0,26,42,35,92.16,85.5,2.63,1265,0.01,37427.41,7879.46,304,961,27,113,N
0,6,0,0,5,1,25.66,9.17,0.08,52,0.11,119.79,235.23,20,32,11,19,N
10,3,0,9,2,1,60.18,12.09,0.24,131,0.08,488.78,727.65,57,74,14,52,N
12,7,1,1,4,1,72.82,24.81,0.6,291,0.04,2491.06,1806.95,134,157,20,72,N
1,7,0,0,4,1,20.32,15.58,0.11,70,0.06,274.14,316.65,34,36,11,13,N
2,1,0,0,1,1,6.2,2.5,0.01,6,0.4,2.15,15.51,1,5,5,7,N
5,7,0,5,4,1,50.91,15.46,0.26,150,0.06,676.18,787.19,67,83,12,42,N
6,15,0,0,8,5,24.98,26.71,0.22,123,0.04,990.55,667.43,51,72,22,47,N
1,15,0,0,8,1,21.71,29.77,0.22,127,0.03,1068.47,646.11,47,80,19,18,N
8,21,0,3,11,9,24.12,55.82,0.45,253,0.02,4175.17,1346.45,101,152,21,67,N
1,5,0,0,3,3,10.99,6.4,0.02,19,0.16,25,70.31,8,11,8,11,N
2,3,0,0,2,1,37.87,13.61,0.17,105,0.07,389.43,515.22,47,58,11,14,N
1,5,0,0,3,3,13.71,5.83,0.03,20,0.17,25.93,80,7,13,10,10,N
9,19,0,1,10,1,43.97,15.17,0.22,128,0.07,561.85,666.81,56,72,13,62,N
19,3,0,2,2,1,145.24,18.01,0.87,404,0.06,2618.13,2616.2,193,211,14,130,N
0,1,0,0,1,1,56.69,5.5,0.1,68,0.18,95.27,311.78,33,35,6,12,N
12,69,0,17,35,35,96.33,42.37,1.36,592,0.02,9608.45,4081.73,263,329,29,139,Y
3,11,3,0,10,1,37.94,11.81,0.15,86,0.08,293.93,448.01,31,55,16,41,Y
0,8,0,0,6,1,20.68,13.64,0.09,60,0.07,213.66,282.03,20,40,15,26,N
12,10,1,8,9,1,56.89,16.95,0.32,166,0.06,907.57,964.02,66,100,19,81,N
3,22,0,5,13,4,21.82,23.33,0.17,97,0.04,659.88,509.05,42,55,20,50,N
4,15,0,0,8,6,24.56,21.64,0.18,102,0.05,638.79,531.36,41,61,19,37,N
10,47,5,20,24,14,47.52,45.68,0.72,369,0.02,5508.81,2170.7,143,226,23,143,N
1,3,0,0,2,1,22.07,3.86,0.03,23,0.26,18.24,85.11,9,14,6,11,N
22,21,2,25,11,9,70.92,31.2,0.74,361,0.03,3835.3,2212.67,156,205,20,128,Y
25,9,0,19,5,1,63.13,14,0.29,160,0.07,687.38,883.77,64,96,14,97,Y
1,9,0,1,5,1,36.37,14.75,0.18,117,0.07,439.58,536.44,59,58,8,26,N
0,1,0,0,1,1,39.24,3.54,0.05,34,0.28,27.34,138.97,17,17,5,7,N
1,23,0,1,12,12,44.3,16.77,0.25,131,0.06,692.48,743.09,52,79,20,31,Y
4,3,0,3,2,1,23.82,9.45,0.08,53,0.11,118.2,225.14,21,32,9,24,N
5,13,0,2,7,1,67.78,15.47,0.35,184,0.06,901.67,1048.88,84,100,14,58,N
16,17,3,8,9,7,24.54,28.75,0.24,130,0.03,1126.7,705.41,50,80,23,67,N
6,35,0,15,22,1,60.41,23.61,0.48,229,0.04,1871.14,1426.4,89,140,26,111,N
8,9,0,11,5,1,17.59,20,0.12,74,0.05,390.96,351.86,32,42,15,36,N
5,17,0,11,9,1,38.58,13.3,0.17,100,0.08,378.87,512.92,45,55,13,49,N
18,8,0,21,5,1,46.36,25.94,0.4,208,0.04,1733.05,1202.52,84,124,21,94,Y
1,3,0,1,2,1,14.34,3.5,0.02,14,0.29,9.76,50.19,5,9,7,10,N
3,7,0,3,4,1,26.43,13.3,0.12,86,0.08,259.74,351.52,38,48,7,37,N
4,3,0,0,2,1,41.97,9.61,0.13,78,0.1,215.26,403.25,34,44,13,26,Y
16,13,9,0,7,5,39.71,36.67,0.49,258,0.03,2966.16,1456.11,110,148,20,90,Y
25,27,0,12,15,1,56.53,33.27,0.63,309,0.03,3477.05,1881.03,122,187,24,139,Y
0,5,0,0,4,1,24.56,7.33,0.06,41,0.14,73.37,180.09,11,30,12,18,N
14,7,0,1,4,4,21.65,17,0.12,75,0.06,347.57,368.02,26,49,17,37,N
1,3,0,1,2,1,23.09,3.57,0.03,23,0.28,16.36,82.45,10,13,5,16,N
0,1,1,0,1,1,25.43,2.86,0.02,21,0.35,11.53,72.65,10,11,4,8,N
12,5,0,0,3,1,88.89,19.93,0.59,300,0.05,1962.54,1772.07,131,169,14,69,N
10,11,4,12,6,1,55.25,17.33,0.32,168,0.06,922.2,957.67,78,90,16,69,N
30,111,3,15,56,12,180.19,25.61,1.54,631,0.04,6565.06,4614.43,262,369,26,242,Y
3,11,0,0,6,3,20.47,18.75,0.13,79,0.05,399.77,383.78,35,44,15,19,N
10,35,0,16,18,10,62.16,19.6,0.41,217,0.05,1326.69,1218.39,98,119,14,83,Y
3,7,0,7,4,4,47.6,14.58,0.23,119,0.07,562.36,694.11,50,69,21,45,N
3,5,0,0,3,1,37.73,16.36,0.21,116,0.06,561.22,617.34,40,76,18,32,Y
5,5,0,0,3,1,48.44,8.39,0.14,82,0.12,189.27,406.24,41,41,9,21,N
8,23,3,29,12,1,60.06,47.5,0.95,485,0.02,7528.97,2853.08,200,285,19,139,Y
3,3,0,0,2,1,27.96,21.65,0.2,120,0.05,727.98,605.33,46,74,16,25,Y
16,11,0,6,6,3,80.78,32.7,0.88,410,0.03,4799.38,2641.61,182,228,23,88,N
3,3,0,0,2,1,17.84,8.33,0.05,35,0.12,68.83,148.68,15,20,10,16,N
14,47,3,4,24,6,31.56,84,0.88,465,0.01,12369.95,2650.7,168,297,26,85,N
4,6,0,0,5,1,27.07,10.5,0.09,62,0.1,165.82,284.27,21,41,12,36,N
8,13,3,13,7,6,62.44,17.79,0.37,188,0.06,1097.28,1110.5,83,105,18,65,N
1,1,1,0,1,1,13.5,2,0.01,9,0.5,3,27,4,5,4,6,N
1,5,0,2,3,1,27.13,8.14,0.07,47,0.12,99.94,220.92,19,28,12,19,N
13,43,0,0,22,22,58.13,83.59,1.62,870,0.01,22563.8,4858.92,406,464,14,122,N
4,3,0,0,2,1,13.9,15.58,0.07,53,0.06,187.55,216.64,17,36,11,18,N
43,20,6,56,13,1,100.58,61.01,2.05,912,0.02,20795.92,6135.86,357,555,27,295,N
4,3,0,0,2,1,21.34,7.56,0.05,38,0.13,67.82,161.42,11,27,11,17,Y
3,13,0,5,7,1,32.72,9.39,0.1,62,0.11,160.22,307.16,26,36,13,28,Y
0,1,0,0,1,1,3.48,4,0,6,0.25,3.1,13.93,2,4,4,4,N
5,5,0,0,3,1,19.95,12.41,0.08,54,0.08,170.69,247.59,21,33,13,21,N
2,5,0,3,3,1,18.86,11,0.07,48,0.09,126.78,207.45,18,30,11,17,N
16,39,3,6,20,12,41.14,92.17,1.26,632,0.01,19416.44,3792,237,395,28,158,N
5,3,0,0,2,1,18.68,22.4,0.14,89,0.04,520.6,418.34,28,61,16,24,Y
8,11,2,7,6,1,35.29,10.67,0.13,74,0.09,223.09,376.47,24,50,16,45,Y
2,7,0,0,4,1,32.93,7.33,0.08,52,0.14,98.38,241.48,22,30,10,18,N
1,5,0,0,3,1,27.5,8.63,0.08,54,0.12,113.65,237.19,23,31,9,17,N
5,7,0,0,4,4,38.85,11.56,0.15,85,0.09,288.59,449.26,37,48,15,31,N
3,3,0,2,2,1,20.22,10.23,0.07,44,0.1,117.51,206.82,15,29,15,25,N
0,1,0,0,1,1,17.64,6.3,0.04,31,0.16,38.9,111.13,9,22,7,7,Y
6,9,0,5,5,1,36.55,9.26,0.11,69,0.11,174.24,338.58,32,37,11,33,N
7,83,20,5,42,27,79.97,65.26,1.74,779,0.02,18927.08,5219.64,322,457,30,182,Y
2,21,1,4,11,1,39.14,19,0.25,145,0.05,785.07,743.75,57,88,14,38,N
7,13,5,8,7,6,57.34,17.37,0.33,170,0.06,960.91,995.86,66,104,20,68,N
40,57,0,7,29,1,214.88,83.56,5.99,2372,0.01,83354.94,17955.7,1103,1269,25,519,N
2,9,0,0,5,5,11.66,19.13,0.07,48,0.05,236.84,222.91,18,30,17,16,N
4,5,1,4,3,1,29.92,8.11,0.08,50,0.12,109.54,242.9,23,27,12,25,N
5,19,0,0,10,8,31.83,26.4,0.28,153,0.04,1232.37,840.25,66,87,20,44,Y
31,59,0,40,31,11,35.69,79.93,0.95,498,0.01,12666.06,2852.5,166,332,26,259,N
4,11,0,0,6,4,33.92,15,0.17,100,0.07,423.96,508.75,38,62,15,31,N
1,3,0,0,2,1,17.28,7,0.04,29,0.14,47.03,120.93,14,15,9,10,N
1,17,1,0,9,5,12.37,32.5,0.13,93,0.03,725.72,401.94,35,58,13,30,N
1,5,0,0,3,1,21.19,4.71,0.03,27,0.21,26.17,99.91,11,16,6,18,N
4,5,0,0,3,1,28.72,8.02,0.08,47,0.12,102.88,230.62,21,26,13,19,N
0,3,0,0,2,1,31.38,6.43,0.07,44,0.16,72.05,201.74,18,26,10,8,N
1,1,0,0,1,1,15.38,4.57,0.02,18,0.22,17.86,70.32,8,10,8,7,N
5,1,0,3,1,1,67.62,6.68,0.15,93,0.15,167.71,451.79,42,51,7,28,N
10,7,0,1,4,1,24.04,11.14,0.09,57,0.09,165.86,267.93,26,31,12,26,N
8,19,0,9,10,8,23.84,45.32,0.36,203,0.02,2719.83,1080.35,82,121,21,65,N
0,3,0,0,2,1,13.84,3.5,0.02,14,0.29,9.42,48.43,4,10,7,7,N
2,5,0,1,3,1,18.8,8.18,0.05,34,0.12,69.91,153.8,15,19,12,16,N
0,3,0,0,2,1,19.93,5.57,0.04,30,0.18,34.36,111.01,13,17,6,14,N
2,3,0,0,2,1,13.11,14.88,0.07,42,0.07,161.18,195.04,14,28,17,20,N
2,11,0,0,6,3,38.69,9.17,0.12,73,0.11,180.6,354.63,30,43,11,34,N
9,19,7,15,10,1,34.32,24.4,0.28,162,0.04,1135.32,837.53,61,101,16,76,N
4,11,1,2,6,6,28.39,14,0.13,81,0.07,309.13,397.46,32,49,14,32,N
3,9,2,1,5,3,25.53,24.5,0.21,121,0.04,851.46,625.56,49,72,18,47,Y
4,3,0,0,2,1,32,5.71,0.06,41,0.18,58.04,182.84,20,21,8,17,Y
1,5,0,0,3,3,13.22,7.71,0.03,24,0.13,43.69,101.95,9,15,12,10,N
2,29,1,4,15,10,72.72,20.43,0.5,266,0.05,1686.04,1485.6,110,156,13,81,Y
1,1,0,0,1,1,10.44,3.5,0.01,11,0.29,7.11,36.54,3,8,7,6,N
4,5,0,0,3,3,16.21,8.13,0.04,30,0.12,59.48,131.77,10,20,13,15,N
3,5,0,0,3,1,11.08,10.83,0.04,30,0.09,72.22,120,13,17,10,17,Y
2,5,0,1,3,3,11.33,9.75,0.04,26,0.1,59.82,110.45,9,17,13,12,N
13,7,0,16,4,1,96.16,17.51,0.56,272,0.06,1637.72,1683.63,107,165,18,84,N
2,1,0,0,1,1,23.77,6.55,0.05,36,0.15,56.58,155.59,16,20,9,11,N
3,1,0,0,1,1,34.49,3.11,0.04,29,0.32,18.55,107.31,14,15,4,12,N
1,3,0,0,2,1,10.81,6.3,0.02,19,0.16,23.84,68.11,9,10,7,10,N
3,3,0,4,2,1,38.07,4.5,0.06,39,0.22,42.83,171.3,18,21,7,27,Y
6,7,0,0,4,1,40.7,13.56,0.18,103,0.07,415.64,551.83,47,56,15,32,Y
2,5,0,0,3,3,42.5,7.58,0.11,67,0.13,135.62,322.09,32,35,9,19,N
4,5,1,6,3,1,35.53,9.67,0.11,70,0.1,184.46,343.48,29,41,12,34,N
4,1,0,4,1,1,75.56,3.47,0.09,58,0.29,50.61,262.37,25,33,5,29,N
1,1,0,0,1,1,13.11,4.8,0.02,17,0.21,16.78,62.91,6,11,8,8,Y
1,1,0,0,1,1,39.53,4,0.05,36,0.25,35.14,158.12,16,20,7,12,N
5,9,0,0,5,1,20.01,18.5,0.12,77,0.05,380.45,370.17,37,40,14,25,N
8,11,0,0,6,1,48.7,16.96,0.28,161,0.06,777.94,825.81,65,96,12,58,N
8,7,0,4,4,3,32.95,30,0.33,187,0.03,1647.28,988.37,70,117,18,45,Y
1,9,1,1,5,4,17.92,6.87,0.04,29,0.15,47.05,123.19,10,19,11,13,N
2,3,0,3,2,1,19.14,16.14,0.1,65,0.06,277.3,309.07,19,46,17,18,N
15,1,0,19,1,1,70.45,14.15,0.33,196,0.07,784.08,997.14,92,104,8,64,N
13,31,0,0,17,1,46.92,50.88,0.8,395,0.02,6749.38,2387.54,147,248,27,126,Y
6,7,0,6,4,1,51.74,24.04,0.41,237,0.04,1660.9,1243.76,118,119,11,47,N
0,3,0,0,2,1,27.33,5.63,0.05,35,0.18,48.04,153.73,15,20,9,13,N
2,3,0,0,2,1,10.72,17.5,0.06,45,0.06,182.43,187.65,10,35,14,16,N
3,3,0,4,2,1,17.3,3.6,0.02,18,0.28,12.45,62.27,6,12,6,17,N
9,11,0,15,6,1,20.9,32.88,0.23,143,0.03,1255.92,687.45,57,86,15,70,N
5,9,0,0,5,3,30.96,23.38,0.24,131,0.04,939.66,723.59,51,80,22,40,Y
14,13,2,12,7,1,40.76,52.89,0.72,386,0.02,6334.31,2155.8,136,250,21,96,N
15,23,0,0,12,8,50.03,24.72,0.41,213,0.04,1698.92,1236.97,89,124,20,65,Y
5,7,0,0,4,1,22.85,11.69,0.09,55,0.09,173.56,267.19,19,36,16,15,N
4,5,0,0,3,1,31.25,8.79,0.09,56,0.11,134.25,274.79,23,33,13,14,Y
3,23,4,0,12,7,35.44,56,0.66,368,0.02,6173.6,1984.37,84,284,24,20,N
1,3,0,0,2,1,20.61,13,0.09,62,0.08,193.53,267.96,26,36,10,20,N
1,11,0,0,6,6,11.3,43,0.16,99,0.02,1160.48,485.78,43,56,20,26,N
11,5,0,10,3,1,63.62,17.18,0.36,204,0.06,1043.06,1092.94,74,130,13,65,N
4,5,2,1,3,1,24.4,9,0.07,50,0.11,109.81,219.62,24,26,9,24,N
3,9,0,0,5,5,22.51,5.85,0.04,31,0.17,42.8,131.69,13,18,9,20,N
10,22,1,17,12,5,50.35,34.94,0.59,288,0.03,3415.22,1759.26,123,165,25,106,Y
4,27,0,7,14,11,20.3,30.15,0.2,126,0.03,1025.41,612.11,49,77,16,45,N
13,9,4,27,5,1,32.61,27.53,0.3,183,0.04,1373.35,897.96,72,111,13,89,N
1,11,0,12,6,5,21.23,11.38,0.08,52,0.09,152.6,241.48,21,31,13,32,N
3,7,0,3,4,1,21.13,9.82,0.07,48,0.1,113.16,207.45,24,24,9,19,N
3,5,1,0,3,1,26.41,5.73,0.05,35,0.17,48.13,151.27,14,21,9,20,N
8,15,0,1,8,5,33.1,21.28,0.23,129,0.05,832.6,704.27,56,73,19,52,Y
7,1,0,6,1,1,37.89,9.84,0.12,76,0.1,203.91,372.92,34,42,11,28,N
2,9,0,0,5,5,20.63,19.08,0.13,81,0.05,417.04,393.5,31,50,16,24,N
0,1,0,0,1,1,30.77,5.33,0.05,42,0.19,48.62,164.09,16,26,6,12,N
0,1,0,0,1,1,6.74,5,0.01,12,0.2,9.36,33.69,4,8,5,5,N
13,7,0,15,4,3,79.97,9.9,0.26,137,0.1,435.83,792.05,64,73,13,68,Y
4,5,1,1,3,1,36.84,8.98,0.11,65,0.11,164.91,330.69,29,36,13,26,N
4,3,0,0,2,1,26.06,9.5,0.08,54,0.11,130.66,247.59,19,35,12,21,N
13,19,0,29,10,1,44.07,38.29,0.56,296,0.03,3589.13,1687.33,133,163,19,145,N
3,5,0,0,3,1,26.43,6.75,0.06,42,0.15,66.9,178.41,15,27,9,15,N
3,5,1,2,3,1,18.9,19.38,0.12,77,0.05,394.09,366.13,31,46,15,32,N
4,1,0,0,1,1,40.45,4.25,0.06,44,0.24,40.59,171.9,17,27,5,19,N
6,5,0,4,3,1,25.88,13.59,0.12,71,0.07,265.64,351.75,29,42,15,29,N
2,5,1,0,3,1,18.5,15.36,0.09,62,0.07,242.63,284.27,26,36,13,21,N
2,21,0,0,11,1,45.51,14.62,0.22,137,0.07,540.75,665.54,36,101,13,61,N
2,1,0,0,1,1,34.1,2.75,0.03,24,0.36,14.33,93.77,11,13,5,10,N
24,3,0,12,2,1,201.31,20.9,1.4,632,0.05,4886.74,4207.99,283,349,13,137,N
0,3,0,0,2,1,10.97,6.25,0.02,18,0.16,23.8,68.53,5,13,10,7,N
5,5,0,1,3,1,54.67,7.6,0.14,81,0.13,175.42,415.47,38,43,10,30,Y
